clip_id,window_start_sec,window_end_sec,target_label,label_tier,segment_class,canonical_label,canonical_label_tier,downstream_layer,dataset_split,training_ready,review_required,confidence,brightness_mean,frame_diff_energy,flow_magnitude_mean,yolo_person_count,canonical_contract,provenance,notes,downstream_overlay,downstream_overlay_reason,synthetic,source_video,source_csi,clip_manifest_file,video_teacher_manifest_file
longcap_chunk0001_20260317_221138,35,40,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,43.1,0.002932,0.031,2,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_221138.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_221138.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_221138.clip.json,
longcap_chunk0002_20260317_203523,60,65,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,35.4,0.003023,0.028,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.clip.json,
longcap_chunk0002_20260317_203523,205,210,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,31.2,0.002923,0.032,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.clip.json,
longcap_chunk0002_20260317_203523,225,230,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,29.8,0.002984,0.031,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_203523.clip.json,
longcap_chunk0002_20260317_221352,50,55,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.35,40.9,0.002912,0.028,1,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,boundary_guard:empty_downgraded,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_221352.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_221352.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0002_20260317_221352.clip.json,
longcap_chunk0003_20260317_204025,60,65,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,36.8,0.00298,0.031,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.clip.json,
longcap_chunk0003_20260317_204025,75,80,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,37.0,0.002965,0.03,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.clip.json,
longcap_chunk0003_20260317_204025,175,180,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,43.6,0.00351,0.029,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_204025.clip.json,
longcap_chunk0003_20260317_221454,10,15,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.35,38.4,0.002953,0.028,2,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,boundary_guard:empty_downgraded,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.clip.json,
longcap_chunk0003_20260317_221454,15,20,UNKNOWN,weak_auto,AMBIGUOUS,UNKNOWN,weak_auto,ambiguous_review,review,False,True,0.3,39.0,0.002685,0.035,2,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0003_20260317_221454.clip.json,
