clip_id,window_start_sec,window_end_sec,target_label,label_tier,segment_class,canonical_label,canonical_label_tier,downstream_layer,dataset_split,training_ready,review_required,confidence,brightness_mean,frame_diff_energy,flow_magnitude_mean,yolo_person_count,canonical_contract,provenance,notes,downstream_overlay,downstream_overlay_reason,synthetic,source_video,source_csi,clip_manifest_file,video_teacher_manifest_file
agent5_node05_pixel8pro_rtsp_smoke_20260317_1454_clip01_node05_pixel8pro_rtsp_smoke,0,4.0,MOTION,weak_auto,CLEAR_MOTION,MOTION,weak_auto,weak_optional,holdout,False,False,0.6,123.1,0.019825,1.297,0,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/agent5_node05_pixel8pro_rtsp_smoke_20260317_1454_clip01_node05_pixel8pro_rtsp_smoke.teacher.mp4,,/Users/arsen/Desktop/wifi-densepose/temp/captures/agent5_node05_pixel8pro_rtsp_smoke_20260317_1454_clip01_node05_pixel8pro_rtsp_smoke.clip.json,
agent5_node05_video_teacher_smoke_20260317_1425_clip01_node05_video_teacher_smoke,0,5,STATIC,strong_teacher,CLEAR_STATIC,STATIC,strong_teacher,training_ready,train,True,False,0.7,102.0,0.005592,0.075,2,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/agent5_node05_video_teacher_smoke_20260317_1425_clip01_node05_video_teacher_smoke.teacher.mp4,,/Users/arsen/Desktop/wifi-densepose/temp/captures/agent5_node05_video_teacher_smoke_20260317_1425_clip01_node05_video_teacher_smoke.clip.json,
four_person_static_test_20260317_201452,0,5,STATIC,human_verified,CLEAR_EMPTY,STATIC,human_verified,training_ready,train,True,False,1.0,34.0,0.002828,0.028,0,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.clip.json,
four_person_static_test_20260317_201452,5,10,STATIC,human_verified,CLEAR_EMPTY,STATIC,human_verified,training_ready,train,True,False,1.0,34.1,0.002435,0.027,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.clip.json,
four_person_static_test_20260317_201452,10,15,STATIC,human_verified,CLEAR_EMPTY,STATIC,human_verified,training_ready,train,True,False,1.0,34.2,0.002259,0.03,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.clip.json,
four_person_static_test_20260317_201452,15,20,STATIC,human_verified,CLEAR_STATIC,STATIC,human_verified,training_ready,train,True,False,1.0,34.2,0.003035,0.055,,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/four_person_static_test_20260317_201452.clip.json,
longcap_chunk0001_20260317_203020,0,5,STATIC,human_verified,CLEAR_STATIC,STATIC,human_verified,training_ready,train,True,False,1.0,36.3,0.003788,0.056,0,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.clip.json,
longcap_chunk0001_20260317_203020,5,10,STATIC,human_verified,CLEAR_STATIC,STATIC,human_verified,training_ready,train,True,False,1.0,37.2,0.004744,0.069,1,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.clip.json,
longcap_chunk0001_20260317_203020,10,15,STATIC,human_verified,AMBIGUOUS,STATIC,human_verified,training_ready,train,True,False,1.0,40.0,0.002651,0.037,0,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.clip.json,
longcap_chunk0001_20260317_203020,15,20,STATIC,human_verified,CLEAR_EMPTY,STATIC,human_verified,training_ready,train,True,False,1.0,39.0,0.002482,0.028,1,thresholds_candidate_v1 + empty_boundary_guard_v1,auto_pipeline_v1,,,,False,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.teacher.mp4,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.ndjson.gz,/Users/arsen/Desktop/wifi-densepose/temp/captures/longcap_chunk0001_20260317_203020.clip.json,
