clip_id,start,end,label,tier,confidence,segment_class,brightness,fdiff,flow,yolo,synthetic
agent5_node05_pixel8pro_rtsp_smoke_20260317_1454_clip01_node05_pixel8pro_rtsp_smoke,0,4.0,MOTION,weak_auto,0.6,CLEAR_MOTION,123.1,0.019825,1.297,0,False
agent5_node05_video_teacher_smoke_20260317_1425_clip01_node05_video_teacher_smoke,0,5,STATIC,strong_teacher,0.7,CLEAR_STATIC,102.0,0.005592,0.075,2,False
four_person_static_test_20260317_201452,0,5,STATIC,human_verified,1.0,CLEAR_EMPTY,34.0,0.002828,0.028,0,False
four_person_static_test_20260317_201452,5,10,STATIC,human_verified,1.0,CLEAR_EMPTY,34.1,0.002435,0.027,,False
four_person_static_test_20260317_201452,10,15,STATIC,human_verified,1.0,CLEAR_EMPTY,34.2,0.002259,0.03,,False
four_person_static_test_20260317_201452,15,20,STATIC,human_verified,1.0,CLEAR_STATIC,34.2,0.003035,0.055,,False
longcap_chunk0001_20260317_203020,0,5,STATIC,human_verified,1.0,CLEAR_STATIC,36.3,0.003788,0.056,0,False
longcap_chunk0001_20260317_203020,5,10,STATIC,human_verified,1.0,CLEAR_STATIC,37.2,0.004744,0.069,1,False
longcap_chunk0001_20260317_203020,10,15,STATIC,human_verified,1.0,AMBIGUOUS,40.0,0.002651,0.037,0,False
longcap_chunk0001_20260317_203020,15,20,STATIC,human_verified,1.0,CLEAR_EMPTY,39.0,0.002482,0.028,1,False
longcap_chunk0001_20260317_203020,20,25,STATIC,human_verified,1.0,CLEAR_STATIC,38.4,0.003108,0.035,1,False
longcap_chunk0001_20260317_203020,25,30,STATIC,human_verified,1.0,CLEAR_STATIC,37.4,0.004087,0.047,2,False
longcap_chunk0001_20260317_203020,30,35,STATIC,human_verified,1.0,CLEAR_STATIC,39.4,0.005397,0.062,0,False
longcap_chunk0001_20260317_203020,35,40,STATIC,human_verified,1.0,CLEAR_STATIC,39.6,0.00404,0.05,,False
longcap_chunk0001_20260317_203020,40,45,STATIC,human_verified,1.0,CLEAR_STATIC,38.0,0.003537,0.041,,False
longcap_chunk0001_20260317_203020,45,50,STATIC,human_verified,1.0,AMBIGUOUS,36.3,0.002502,0.036,,False
longcap_chunk0001_20260317_203020,50,55,STATIC,human_verified,1.0,CLEAR_EMPTY,36.3,0.002292,0.024,,False
longcap_chunk0001_20260317_203020,55,60,STATIC,human_verified,1.0,CLEAR_EMPTY,36.2,0.002201,0.022,,False
longcap_chunk0001_20260317_203020,60,65,STATIC,human_verified,1.0,CLEAR_EMPTY,35.6,0.002144,0.022,,False
longcap_chunk0001_20260317_203020,65,70,STATIC,human_verified,1.0,CLEAR_EMPTY,35.1,0.002214,0.022,,False
longcap_chunk0001_20260317_203020,70,75,STATIC,human_verified,1.0,CLEAR_EMPTY,35.0,0.00223,0.023,,False
longcap_chunk0001_20260317_203020,75,80,STATIC,human_verified,1.0,CLEAR_EMPTY,35.1,0.002455,0.027,,False
longcap_chunk0001_20260317_203020,80,85,STATIC,human_verified,1.0,CLEAR_STATIC,35.0,0.003072,0.048,,False
longcap_chunk0001_20260317_203020,85,90,STATIC,human_verified,1.0,CLEAR_MOTION,35.2,0.005676,0.119,,False
longcap_chunk0001_20260317_203020,90,95,STATIC,human_verified,1.0,CLEAR_STATIC,35.6,0.003271,0.052,,False
longcap_chunk0001_20260317_203020,95,100,STATIC,human_verified,1.0,CLEAR_STATIC,35.9,0.004133,0.053,,False
longcap_chunk0001_20260317_203020,100,105,STATIC,human_verified,1.0,CLEAR_STATIC,35.8,0.00393,0.061,,False
longcap_chunk0001_20260317_203020,105,110,STATIC,human_verified,1.0,CLEAR_STATIC,38.7,0.005384,0.067,,False
longcap_chunk0001_20260317_203020,110,115,STATIC,human_verified,1.0,CLEAR_MOTION,38.4,0.006909,0.083,,False
longcap_chunk0001_20260317_203020,115,120,STATIC,human_verified,1.0,CLEAR_STATIC,38.9,0.003173,0.034,,False
longcap_chunk0001_20260317_203020,120,125,STATIC,human_verified,1.0,CLEAR_STATIC,37.8,0.004864,0.076,,False
longcap_chunk0001_20260317_203020,125,130,STATIC,human_verified,1.0,AMBIGUOUS,38.6,0.002986,0.032,,False
longcap_chunk0001_20260317_203020,130,135,STATIC,human_verified,1.0,CLEAR_EMPTY,38.4,0.002541,0.024,,False
longcap_chunk0001_20260317_203020,135,140,STATIC,human_verified,1.0,CLEAR_EMPTY,38.5,0.002648,0.026,,False
longcap_chunk0001_20260317_203020,140,145,STATIC,human_verified,1.0,CLEAR_MOTION,37.2,0.006662,0.084,,False
longcap_chunk0001_20260317_203020,145,150,STATIC,human_verified,1.0,CLEAR_MOTION,38.2,0.007446,0.112,,False
longcap_chunk0001_20260317_203020,150,155,STATIC,human_verified,1.0,CLEAR_STATIC,38.2,0.005253,0.059,,False
longcap_chunk0001_20260317_203020,155,160,STATIC,human_verified,1.0,CLEAR_STATIC,36.6,0.004045,0.04,,False
longcap_chunk0001_20260317_203020,160,165,STATIC,human_verified,1.0,CLEAR_EMPTY,39.8,0.002655,0.028,,False
longcap_chunk0001_20260317_203020,165,170,STATIC,human_verified,1.0,CLEAR_STATIC,40.3,0.003492,0.041,,False
longcap_chunk0001_20260317_203020,170,175,STATIC,human_verified,1.0,CLEAR_STATIC,38.0,0.006588,0.073,,False
longcap_chunk0001_20260317_203020,175,180,STATIC,human_verified,1.0,CLEAR_MOTION,36.3,0.008379,0.122,,False
longcap_chunk0001_20260317_203020,180,185,STATIC,human_verified,1.0,CLEAR_MOTION,38.0,0.007588,0.078,,False
longcap_chunk0001_20260317_203020,185,190,STATIC,human_verified,1.0,CLEAR_EMPTY,38.4,0.002881,0.029,,False
longcap_chunk0001_20260317_203020,190,195,STATIC,human_verified,1.0,CLEAR_EMPTY,38.2,0.002236,0.021,,False
longcap_chunk0001_20260317_203020,195,200,STATIC,human_verified,1.0,CLEAR_EMPTY,38.1,0.002362,0.023,,False
longcap_chunk0001_20260317_203020,200,205,STATIC,human_verified,1.0,CLEAR_STATIC,37.7,0.003746,0.037,,False
longcap_chunk0001_20260317_203020,205,210,STATIC,human_verified,1.0,CLEAR_STATIC,35.4,0.005255,0.056,,False
longcap_chunk0001_20260317_203020,210,215,STATIC,human_verified,1.0,CLEAR_STATIC,31.3,0.00629,0.072,,False
longcap_chunk0001_20260317_203020,215,220,STATIC,human_verified,1.0,CLEAR_STATIC,31.9,0.005027,0.047,,False
longcap_chunk0001_20260317_203020,220,225,STATIC,human_verified,1.0,CLEAR_MOTION,31.0,0.013057,0.159,,False
longcap_chunk0001_20260317_203020,225,230,STATIC,human_verified,1.0,CLEAR_MOTION,36.6,0.006766,0.141,,False
longcap_chunk0001_20260317_203020,230,235,STATIC,human_verified,1.0,CLEAR_STATIC,37.4,0.004397,0.079,,False
longcap_chunk0001_20260317_203020,235,240,STATIC,human_verified,1.0,CLEAR_STATIC,37.8,0.003308,0.044,,False
longcap_chunk0001_20260317_203020,240,245,STATIC,human_verified,1.0,CLEAR_STATIC,37.2,0.004915,0.066,,False
longcap_chunk0001_20260317_203020,245,250,STATIC,human_verified,1.0,CLEAR_STATIC,38.2,0.003105,0.039,,False
longcap_chunk0001_20260317_203020,250,255,STATIC,human_verified,1.0,CLEAR_MOTION,38.2,0.004492,0.085,,False
longcap_chunk0001_20260317_203020,255,260,STATIC,human_verified,1.0,CLEAR_STATIC,37.2,0.005179,0.066,,False
longcap_chunk0001_20260317_203020,260,265,STATIC,human_verified,1.0,CLEAR_STATIC,36.5,0.003015,0.032,,False
longcap_chunk0001_20260317_203020,265,270,STATIC,human_verified,1.0,CLEAR_MOTION,35.4,0.004418,0.096,,False
longcap_chunk0001_20260317_203020,270,275,STATIC,human_verified,1.0,CLEAR_STATIC,36.0,0.003269,0.045,,False
longcap_chunk0001_20260317_203020,275,280,STATIC,human_verified,1.0,CLEAR_STATIC,35.0,0.005552,0.065,,False
longcap_chunk0001_20260317_203020,280,285,STATIC,human_verified,1.0,AMBIGUOUS,34.8,0.00264,0.031,,False
longcap_chunk0001_20260317_203020,285,290,STATIC,human_verified,1.0,CLEAR_STATIC,35.3,0.004144,0.078,,False
longcap_chunk0001_20260317_203020,290,295,STATIC,human_verified,1.0,CLEAR_STATIC,36.8,0.003096,0.042,,False
longcap_chunk0001_20260317_221138,0,5,STATIC,human_verified,1.0,CLEAR_STATIC,43.6,0.003465,0.032,2,False
longcap_chunk0001_20260317_221138,5,10,STATIC,human_verified,1.0,CLEAR_STATIC,43.0,0.004356,0.056,2,False
longcap_chunk0001_20260317_221138,10,15,STATIC,human_verified,1.0,CLEAR_STATIC,42.5,0.003626,0.035,2,False
longcap_chunk0001_20260317_221138,15,20,STATIC,human_verified,1.0,CLEAR_STATIC,42.6,0.003842,0.035,2,False
longcap_chunk0001_20260317_221138,20,25,STATIC,human_verified,1.0,CLEAR_STATIC,42.5,0.004066,0.039,3,False
longcap_chunk0001_20260317_221138,25,30,STATIC,human_verified,1.0,CLEAR_STATIC,42.2,0.004024,0.039,2,False
longcap_chunk0001_20260317_221138,30,35,STATIC,human_verified,1.0,CLEAR_STATIC,43.3,0.00434,0.04,3,False
longcap_chunk0001_20260317_221138,35,40,STATIC,human_verified,1.0,AMBIGUOUS,43.1,0.002932,0.031,2,False
longcap_chunk0001_20260317_221138,40,45,STATIC,human_verified,1.0,CLEAR_MOTION,42.9,0.006669,0.119,2,False
longcap_chunk0001_20260317_221138,45,50,STATIC,human_verified,1.0,CLEAR_MOTION,45.0,0.009414,0.141,1,False
longcap_chunk0001_20260317_221250,0,5,STATIC,human_verified,1.0,CLEAR_STATIC,43.8,0.005211,0.066,2,False
longcap_chunk0001_20260317_221250,5,10,STATIC,human_verified,1.0,CLEAR_STATIC,43.0,0.00375,0.045,2,False
longcap_chunk0001_20260317_221250,10,15,STATIC,human_verified,1.0,CLEAR_STATIC,44.1,0.004117,0.078,1,False
longcap_chunk0001_20260317_221250,15,20,STATIC,human_verified,1.0,CLEAR_MOTION,43.5,0.005917,0.097,2,False
longcap_chunk0001_20260317_221250,20,25,STATIC,human_verified,1.0,CLEAR_STATIC,43.6,0.005004,0.05,1,False
longcap_chunk0001_20260317_221250,25,30,STATIC,human_verified,1.0,CLEAR_MOTION,42.3,0.008298,0.08,1,False
longcap_chunk0001_20260317_221250,30,35,STATIC,human_verified,1.0,CLEAR_MOTION,41.1,0.009076,0.111,1,False
longcap_chunk0001_20260317_221250,35,40,STATIC,human_verified,1.0,CLEAR_MOTION,41.5,0.010956,0.125,2,False
longcap_chunk0001_20260317_221250,40,45,STATIC,human_verified,1.0,CLEAR_MOTION,41.0,0.011471,0.123,2,False
longcap_chunk0001_20260317_221250,45,50,STATIC,human_verified,1.0,CLEAR_MOTION,39.9,0.007304,0.085,2,False
longcap_chunk0001_20260317_221250,50,55,STATIC,human_verified,1.0,CLEAR_STATIC,44.2,0.006801,0.066,2,False
longcap_chunk0001_20260317_233712,0,5,EMPTY,human_verified,1.0,CLEAR_STATIC,77.8,0.004607,0.045,,False
longcap_chunk0001_20260317_233712,5,10,EMPTY,human_verified,1.0,CLEAR_STATIC,76.5,0.005094,0.041,,False
longcap_chunk0001_20260317_233712,10,15,EMPTY,human_verified,1.0,CLEAR_STATIC,75.1,0.003459,0.038,,False
longcap_chunk0001_20260317_233712,15,20,EMPTY,human_verified,1.0,CLEAR_STATIC,75.2,0.003644,0.042,,False
longcap_chunk0001_20260317_233712,20,25,EMPTY,human_verified,1.0,CLEAR_STATIC,75.1,0.003517,0.038,,False
longcap_chunk0001_20260317_233712,25,30,EMPTY,human_verified,1.0,CLEAR_STATIC,76.2,0.004929,0.042,,False
longcap_chunk0001_20260317_233712,30,35,EMPTY,human_verified,1.0,CLEAR_STATIC,75.2,0.003701,0.037,,False
longcap_chunk0001_20260317_233712,35,40,EMPTY,human_verified,1.0,CLEAR_STATIC,75.1,0.004562,0.042,,False
longcap_chunk0001_20260317_233712,40,45,EMPTY,human_verified,1.0,CLEAR_STATIC,74.1,0.003505,0.038,,False
longcap_chunk0001_20260317_233712,45,50,EMPTY,human_verified,1.0,CLEAR_STATIC,74.1,0.003673,0.039,,False
longcap_chunk0001_20260317_233712,50,55,EMPTY,human_verified,1.0,CLEAR_STATIC,74.1,0.00342,0.036,,False
longcap_chunk0001_20260318_005911,0,5,MOTION,human_verified,1.0,CLEAR_MOTION,61.0,0.010178,0.161,,False
longcap_chunk0001_20260318_005911,5,10,MOTION,human_verified,1.0,CLEAR_MOTION,62.0,0.015212,0.386,,False
longcap_chunk0001_20260318_005911,10,15,MOTION,human_verified,1.0,CLEAR_MOTION,61.6,0.009251,0.195,,False
longcap_chunk0001_20260318_005911,15,20,MOTION,human_verified,1.0,CLEAR_MOTION,63.2,0.013845,0.33,,False
longcap_chunk0001_20260318_005911,20,25,MOTION,human_verified,1.0,CLEAR_MOTION,62.4,0.013509,0.173,,False
longcap_chunk0001_20260318_010147,0,5,EMPTY,human_verified,1.0,CLEAR_MOTION,62.8,0.028319,0.529,,False
longcap_chunk0001_20260318_010147,5,10,EMPTY,human_verified,1.0,CLEAR_MOTION,72.5,0.014655,0.207,,False
longcap_chunk0001_20260318_010147,10,15,EMPTY,human_verified,1.0,CLEAR_STATIC,73.8,0.004955,0.055,,False
longcap_chunk0001_20260318_010147,15,20,EMPTY,human_verified,1.0,CLEAR_STATIC,73.4,0.00452,0.046,,False
longcap_chunk0001_20260318_010147,20,25,EMPTY,human_verified,1.0,CLEAR_STATIC,73.2,0.004345,0.044,,False
longcap_chunk0001_20260318_133759,0,5,STATIC,human_verified,1.0,CLEAR_MOTION,124.2,0.016324,0.101,,False
longcap_chunk0001_20260318_133759,5,10,STATIC,human_verified,1.0,CLEAR_MOTION,115.3,0.015559,0.087,,False
longcap_chunk0001_20260318_133759,10,15,STATIC,human_verified,1.0,CLEAR_MOTION,121.2,0.019142,0.073,,False
longcap_chunk0001_20260318_133759,15,20,STATIC,human_verified,1.0,CLEAR_MOTION,117.2,0.022478,0.128,,False
longcap_chunk0001_20260318_133759,20,25,STATIC,human_verified,1.0,CLEAR_MOTION,139.0,0.009195,0.07,,False
longcap_chunk0001_20260318_143115,0,5,MOTION,human_verified,1.0,CLEAR_MOTION,94.4,0.057591,1.236,,False
longcap_chunk0001_20260318_143115,5,10,STATIC,human_verified,1.0,CLEAR_MOTION,103.4,0.019415,0.392,,False
longcap_chunk0001_20260318_143115,10,15,ENTRY_EXIT,human_verified,0.7,CLEAR_STATIC,104.4,0.004145,0.042,,False
longcap_chunk0001_20260318_143115,15,20,STATIC,human_verified,1.0,CLEAR_STATIC,105.0,0.005372,0.075,,False
longcap_chunk0001_20260318_143115,20,25,STATIC,human_verified,1.0,CLEAR_STATIC,104.3,0.004355,0.053,,False
longcap_chunk0001_20260318_143115,25,30,STATIC,human_verified,1.0,CLEAR_STATIC,104.5,0.00376,0.038,,False
longcap_chunk0001_20260318_143115,30,35,STATIC,human_verified,1.0,CLEAR_STATIC,104.5,0.003322,0.035,,False
longcap_chunk0001_20260318_143115,35,40,STATIC,human_verified,1.0,CLEAR_STATIC,104.4,0.003538,0.034,,False
longcap_chunk0001_20260318_143115,40,45,STATIC,human_verified,1.0,CLEAR_STATIC,104.3,0.003235,0.032,,False
longcap_chunk0001_20260318_143115,45,50,ENTRY_EXIT,human_verified,0.7,CLEAR_MOTION,91.8,0.060588,1.114,,False
longcap_chunk0001_20260318_143115,50,55,MOTION,human_verified,1.0,CLEAR_MOTION,48.2,0.020161,0.642,,False
longcap_chunk0001_20260318_180527,0,5,MOTION,strong_teacher,0.7,CLEAR_MOTION,69.8,0.006886,0.136,,False
longcap_chunk0001_20260318_180527,5,10,MOTION,strong_teacher,0.8,CLEAR_MOTION,85.9,0.028719,0.382,,False
longcap_chunk0001_20260318_180527,10,15,MOTION,strong_teacher,0.8,CLEAR_MOTION,89.5,0.026607,0.324,,False
longcap_chunk0001_20260318_180527,15,20,MOTION,strong_teacher,0.8,CLEAR_MOTION,70.1,0.02641,0.349,,False
longcap_chunk0001_20260318_180527,20,25,MOTION,strong_teacher,0.8,CLEAR_MOTION,80.4,0.070658,1.132,,False
longcap_chunk0001_20260318_180527,25,30,MOTION,strong_teacher,0.8,CLEAR_MOTION,93.1,0.018402,0.399,,False
longcap_chunk0001_20260318_180527,30,35,MOTION,strong_teacher,0.8,CLEAR_MOTION,72.9,0.049951,0.83,,False
longcap_chunk0001_20260318_180527,35,40,MOTION,strong_teacher,0.8,CLEAR_MOTION,70.6,0.028876,0.297,,False
longcap_chunk0001_20260318_180527,40,45,MOTION,strong_teacher,0.7,CLEAR_MOTION,68.9,0.0057,0.14,,False
longcap_chunk0001_20260318_180527,45,50,MOTION,strong_teacher,0.8,CLEAR_MOTION,66.5,0.012699,0.287,,False
longcap_chunk0001_20260318_180527,50,55,MOTION,strong_teacher,0.8,CLEAR_MOTION,70.5,0.007951,0.243,,False
longcap_chunk0002_20260317_203523,0,5,STATIC,human_verified,1.0,CLEAR_STATIC,36.2,0.006796,0.071,0,False
longcap_chunk0002_20260317_203523,5,10,STATIC,human_verified,1.0,CLEAR_STATIC,36.2,0.004751,0.046,1,False
